genus,temp,relative_abundance,Family,Order,Class,Phylum
Paucibacter,9,0.000103242,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pigmentiphaga,10.9,0.000233209,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pigmentiphaga,9,0.000154863,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Polaromonas,9,0.000258104,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Polaromonas,10.9,0.000242718,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Polaromonas,10.9,0.000233209,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Polynucleobacter,10.9,0.000242718,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pulveribacter,10.9,0.000155473,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pulveribacter,9,5.162089613875697e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pusillimonas,9,0.000103242,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pusillimonas,10.9,7.77363184079602e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Ralstonia,9,0.001290522,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Ralstonia,10.9,0.000970874,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Ralstonia,10.9,0.001321517,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Ramlibacter,10.9,0.000544154,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Ramlibacter,9,0.000206484,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Ramlibacter,10.9,0.000970874,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Rhizobacter,9,0.000258104,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Rhizobacter,10.9,0.000242718,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Rhodoferax,10.9,0.001010572,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Rhodoferax,9,0.000774313,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Rhodoferax,10.9,0.000728155,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Roseateles,9,5.162089613875697e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Roseateles,10.9,7.77363184079602e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Roseateles,10.9,0.000242718,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Rubrivivax,9,0.000258104,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Rubrivivax,10.9,0.000310945,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Schlegelella,9,0.000361346,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Schlegelella,10.9,0.000485437,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Schlegelella,10.9,0.000155473,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Serpentinomonas,9,5.162089613875697e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Serpentinomonas,10.9,0.000310945,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Serpentinomonas,10.9,0.000485437,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Sphaerotilus,9,0.000206484,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Sutterella,10.9,0.000388682,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Thiomonas,10.9,0.003653607,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Thiomonas,9,0.002839149,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Thiomonas,10.9,0.009466019,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Undibacterium,9,0.000258104,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Undibacterium,10.9,7.77363184079602e-05,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Variovorax,10.9,0.002176617,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Variovorax,9,0.001393764,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Variovorax,10.9,0.001941748,Burkholderiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Campylobacter,10.9,7.77363184079602e-05,Campylobacteraceae,Campylobacterales,Campylobacteria,Campylobacterota
Carboxydocella,9,0.000103242,Carboxydocellaceae,Carboxydocellales,Unknown,Firmicutes_B
Cardiobacterium,10.9,0.000310945,Cardiobacteriaceae,Cardiobacteriales,Gammaproteobacteria,Proteobacteria
Casimicrobium,9,0.000206484,Casimicrobiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Casimicrobium,10.9,0.000155473,Casimicrobiaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Asticcacaulis,9,0.000103242,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Asticcacaulis,10.9,0.000233209,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Brevundimonas,10.9,0.001787935,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Brevundimonas,9,0.001342143,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Brevundimonas,10.9,0.001699029,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Caulobacter,9,0.001342143,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Caulobacter,10.9,0.001554726,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Caulobacter,10.9,0.000970874,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Caulobacteraceae,9,0.000309725,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Caulobacteraceae,10.9,0.000155473,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Phenylobacterium,10.9,0.000388682,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Phenylobacterium,9,0.000154863,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Phenylobacterium,10.9,0.000242718,Caulobacteraceae,Caulobacterales,Alphaproteobacteria,Proteobacteria
Cellulomonas,10.9,7.77363184079602e-05,Cellulomonadaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Cellulosimicrobium,10.9,7.77363184079602e-05,Cellulomonadaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Luteimicrobium,10.9,7.77363184079602e-05,Cellulomonadaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Xylanimonas,9,5.162089613875697e-05,Cellulomonadaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Cellvibrio,10.9,7.77363184079602e-05,Cellvibrionaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Microbulbifer,10.9,0.000310945,Cellvibrionaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Microbulbifer,9,0.000258104,Cellvibrionaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Simiduia,10.9,7.77363184079602e-05,Cellvibrionaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Teredinibacter,9,0.000103242,Cellvibrionaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria
Thermothelomyces,10.9,0.001456311,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
Thermothelomyces,9.3,0.003703704,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
Thermothelomyces,10.9,7.77363184079602e-05,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
Thermothielavioides,10.9,0.000728155,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
Thermothielavioides,9,0.000103242,Chaetomiaceae,Sordariales,Sordariomycetes,Ascomycota
Chitinibacter,9,0.000206484,Chitinibacteraceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Chitinibacter,10.9,0.000233209,Chitinibacteraceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Chitinolyticbacter,9,5.162089613875697e-05,Chitinibacteraceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Chitinolyticbacter,10.9,0.000233209,Chitinibacteraceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Deefgea,9,0.000103242,Chitinibacteraceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Iodobacter,10.9,7.77363184079602e-05,Chitinibacteraceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Jeongeupia,9,0.000412967,Chitinibacteraceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Jeongeupia,10.9,0.000155473,Chitinibacteraceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Chitinimonas,10.9,0.000466418,Chitinimonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Chitinimonas,10.9,0.000242718,Chitinimonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Flavihumibacter,10.9,7.77363184079602e-05,Chitinophagaceae,Chitinophagales,Bacteroidia,Bacteroidota
Pseudobacter,9,5.162089613875697e-05,Chitinophagaceae,Chitinophagales,Bacteroidia,Bacteroidota
Chloracidobacterium,10.9,0.000155473,Chloracidobacteriaceae,Chloracidobacteriales,Blastocatellia,Acidobacteriota
Chloracidobacterium,9,5.162089613875697e-05,Chloracidobacteriaceae,Chloracidobacteriales,Blastocatellia,Acidobacteriota
Chlorobaculum,10.9,7.77363184079602e-05,Chlorobiaceae,Chlorobiales,Chlorobia,Bacteroidota
Chlorobium,10.9,0.000242718,Chlorobiaceae,Chlorobiales,Chlorobia,Bacteroidota
Chlorobium,10.9,7.77363184079602e-05,Chlorobiaceae,Chlorobiales,Chlorobia,Bacteroidota
Prosthecochloris,10.9,7.77363184079602e-05,Chlorobiaceae,Chlorobiales,Chlorobia,Bacteroidota
Chloroflexus,9,0.000103242,Chloroflexaceae,Chloroflexales,Chloroflexia,Chloroflexota
Christensenella,9,5.162089613875697e-05,Christensenellaceae,Christensenellales,Clostridia,Firmicutes_A
Allochromatium,10.9,7.77363184079602e-05,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Allochromatium,10.9,0.000242718,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Marichromatium,10.9,0.000242718,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Marichromatium,10.9,7.77363184079602e-05,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Thiocystis,10.9,0.000155473,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Thiocystis,9,5.162089613875697e-05,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Thioflavicoccus,9,5.162089613875697e-05,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Thioflavicoccus,10.9,7.77363184079602e-05,Chromatiaceae,Chromatiales,Gammaproteobacteria,Proteobacteria
Aquitalea,9,0.000412967,Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Aquitalea,10.9,0.000155473,Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Aquitalea,10.9,0.000485437,Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Chromobacteriaceae,9,0.000103242,Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Chromobacteriaceae,10.9,7.77363184079602e-05,Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Chromobacterium,9,0.000877555,Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Chromobacterium,10.9,0.001088308,Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Chromobacterium,10.9,0.000728155,Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pseudogulbenkiania,9,0.000154863,Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pseudogulbenkiania,10.9,0.000310945,Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Pseudogulbenkiania,10.9,0.000242718,Chromobacteriaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Dactylococcopsis,10.9,7.77363184079602e-05,Chroococcaceae,Cyanobacteriales,Cyanobacteriia,Cyanobacteria
Desulfurispirillum,9,0.000154863,Chrysiogenaceae,Chrysiogenales,Chrysiogenetes,Chrysiogenota
Clostridium,10.9,0.000155473,Clostridiaceae,Clostridiales,Clostridia,Firmicutes_A
Clostridium,10.9,0.000242718,Clostridiaceae,Clostridiales,Clostridia,Firmicutes_A
Clostridium,9,0.000103242,Clostridiaceae,Clostridiales,Clostridia,Firmicutes_A
Comamonadaceae,9,0.000774313,Comamonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Comamonadaceae,10.9,0.000621891,Comamonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Comamonadaceae,10.9,0.000485437,Comamonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Delftia,10.9,0.000621891,Comamonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Delftia,9,0.000619451,Comamonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Delftia,10.9,0.000970874,Comamonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Simplicispira,9,5.162089613875697e-05,Comamonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Verminephrobacter,9,0.000154863,Comamonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Verminephrobacter,10.9,0.000485437,Comamonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Verminephrobacter,10.9,0.000155473,Comamonadaceae,Burkholderiales,Gammaproteobacteria,Proteobacteria
Aquicella,10.9,7.77363184079602e-05,Coxiellaceae,Coxiellales,Gammaproteobacteria,Proteobacteria
Cyanobium,9,5.162089613875697e-05,Cyanobiaceae,Unknown,Cyanobacteriia,Cyanobacteria
Prochlorococcus,9,0.000103242,Cyanobiaceae,Unknown,Cyanobacteriia,Cyanobacteria
Prochlorococcus,10.9,7.77363184079602e-05,Cyanobiaceae,Unknown,Cyanobacteriia,Cyanobacteria
Algoriphagus,10.9,7.77363184079602e-05,Cyclobacteriaceae,Cytophagales,Bacteroidia,Bacteroidota
Echinicola,10.9,0.000155473,Cyclobacteriaceae,Cytophagales,Bacteroidia,Bacteroidota
Echinicola,9,0.000103242,Cyclobacteriaceae,Cytophagales,Bacteroidia,Bacteroidota
Candida,9,5.162089613875697e-05,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Candida,9.3,0.003703704,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Deinococcus,9,0.000412967,Deinococcaceae,Deinococcales,Deinococci,Deinococcota
Deinococcus,10.9,0.000242718,Deinococcaceae,Deinococcales,Deinococci,Deinococcota
Deinococcus,10.9,0.000155473,Deinococcaceae,Deinococcales,Deinococci,Deinococcota
Brachybacterium,9,0.000103242,Dermabacteraceae,Actinomycetales,Actinomycetia,Actinobacteriota
Brachybacterium,10.9,0.000155473,Dermabacteraceae,Actinomycetales,Actinomycetia,Actinobacteriota
Brachybacterium,10.9,0.000242718,Dermabacteraceae,Actinomycetales,Actinomycetia,Actinobacteriota
Arsenicicoccus,9,0.000103242,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Janibacter,10.9,0.000155473,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Janibacter,10.9,0.000485437,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Mobilicoccus,9,0.000103242,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Ornithinimicrobium,10.9,7.77363184079602e-05,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Ornithinimicrobium,9,5.162089613875697e-05,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Phycicoccus,9,0.000103242,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Serinicoccus,10.9,7.77363184079602e-05,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Serinicoccus,9,0.000103242,Dermatophilaceae,Actinomycetales,Actinomycetia,Actinobacteriota
Desulfosporosinus,9,0.000309725,Desulfitobacteriaceae,Desulfitobacteriales,Desulfitobacteriia,Firmicutes_B
Desulfobulbus,10.9,7.77363184079602e-05,Desulfobulbaceae,Desulfobulbales,Desulfobulbia,Desulfobacterota
Desulfobulbus,9,0.000103242,Desulfobulbaceae,Desulfobulbales,Desulfobulbia,Desulfobacterota
Desulfocapsa,9,5.162089613875697e-05,Desulfocapsaceae,Desulfobulbales,Desulfobulbia,Desulfobacterota
Desulfococcus,9,5.162089613875697e-05,Desulfococcaceae,Desulfobacterales,Desulfobacteria,Desulfobacterota
Desulfohalobium,9,0.000103242,Desulfohalobiaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I
Desulfomicrobium,10.9,0.000242718,Desulfomicrobiaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I
Desulfomicrobium,10.9,0.000155473,Desulfomicrobiaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I
Desulfosarcina,10.9,7.77363184079602e-05,Desulfosarcinaceae,Desulfobacterales,Desulfobacteria,Desulfobacterota
Desulfotomaculum,10.9,7.77363184079602e-05,Desulfotomaculaceae,Desulfotomaculales,Desulfotomaculia,Firmicutes_B
Desulfolutivibrio,9,0.000154863,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I
Desulfolutivibrio,10.9,7.77363184079602e-05,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I
Desulfovibrio,10.9,0.000310945,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I
Desulfovibrio,9,0.000309725,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I
Pseudodesulfovibrio,9,5.162089613875697e-05,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I
Pseudodesulfovibrio,10.9,7.77363184079602e-05,Desulfovibrionaceae,Desulfovibrionales,Desulfovibrionia,Desulfobacterota_I
Desulfuromonas,9,5.162089613875697e-05,Desulfuromonadaceae,Desulfuromonadales,Desulfuromonadia,Desulfobacterota
Desulfuromonas,10.9,7.77363184079602e-05,Desulfuromonadaceae,Desulfuromonadales,Desulfuromonadia,Desulfobacterota
Devosia,10.9,0.000728155,Devosiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Devosia,9,0.00056783,Devosiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Devosia,10.9,0.000544154,Devosiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Pelagibacterium,10.9,0.000233209,Devosiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria
Bacteria,9,0.007949618,Diapheromeridae,Phasmida,Insecta,Arthropoda
Bacteria,10.9,0.009328358,Diapheromeridae,Phasmida,Insecta,Arthropoda
Bacteria,10.9,0.003640777,Diapheromeridae,Phasmida,Insecta,Arthropoda
Dictyoglomus,9,0.000103242,Dictyoglomaceae,Dictyoglomales,Dictyoglomia,Dictyoglomota
Hypericibacter,10.9,0.0008551,Dongiaceae,Dongiales,Alphaproteobacteria,Proteobacteria
Hypericibacter,10.9,0.000485437,Dongiaceae,Dongiales,Alphaproteobacteria,Proteobacteria
Hypericibacter,9,0.000774313,Dongiaceae,Dongiales,Alphaproteobacteria,Proteobacteria
Ectothiorhodospira,9,0.000103242,Ectothiorhodospiraceae,Ectothiorhodospirales,Gammaproteobacteria,Proteobacteria
Ectothiorhodospira,10.9,7.77363184079602e-05,Ectothiorhodospiraceae,Ectothiorhodospirales,Gammaproteobacteria,Proteobacteria
Adlercreutzia,10.9,7.77363184079602e-05,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota
Gordonibacter,9,0.000103242,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota
Slackia,10.9,7.77363184079602e-05,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota
Egibacter,10.9,0.000242718,Egibacteraceae,Euzebyales,Actinomycetia,Actinobacteriota
Egibacter,9,5.162089613875697e-05,Egibacteraceae,Euzebyales,Actinomycetia,Actinobacteriota
Emcibacter,9,0.000258104,Emcibacteraceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria
Emcibacter,10.9,0.000310945,Emcibacteraceae,Sphingomonadales,Alphaproteobacteria,Proteobacteria
Atlantibacter,10.9,7.77363184079602e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Brenneria,9,0.000206484,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Brenneria,10.9,0.000233209,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Buttiauxella,10.9,7.77363184079602e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Citrobacter,10.9,0.000310945,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Citrobacter,9,0.000206484,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Cronobacter,9,0.000206484,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Cronobacter,10.9,7.77363184079602e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Dickeya,9,0.000206484,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Dickeya,10.9,0.000544154,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Enterobacter,10.9,0.000621891,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Enterobacter,10.9,0.000485437,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Enterobacter,9,0.000154863,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Enterobacteriaceae,9,0.00578154,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Enterobacteriaceae,10.9,0.006607587,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Enterobacteriaceae,10.9,0.007524272,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Enterobacteriaceae,9.3,0.001851852,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Erwinia,10.9,0.000155473,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia,10.9,0.2822815533980582,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia,9.8,0.7268041237113402,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia,10.5,0.615686275,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia,9,0.2878381168697088,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia,10.9,0.2493781094527363,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia,9.3,0.4481481481481481,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia,8.8,0.6466876971608833,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Escherichia,10.7,0.7339449541284404,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Ewingella,10.9,7.77363184079602e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Gibbsiella,9,0.000103242,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Hafnia,9,0.000154863,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Izhakiella,10.9,7.77363184079602e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Kosakonia,8.8,0.003154574,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Kosakonia,9,0.000154863,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Leclercia,10.9,0.000155473,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Lonsdalea,10.9,0.000155473,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Mixta,10.9,0.000155473,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Mixta,9,0.000516209,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Pantoea,10.9,0.000388682,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Pantoea,9,0.000258104,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Pectobacterium,10.9,7.77363184079602e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Pectobacterium,9,5.162089613875697e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Phytobacter,10.9,7.77363184079602e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Plesiomonas,9,0.000103242,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Plesiomonas,10.9,0.000242718,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Plesiomonas,10.9,7.77363184079602e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Providencia,9,5.162089613875697e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Raoultella,10.9,0.000242718,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Raoultella,10.9,7.77363184079602e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Salmonella,9.8,0.010309278,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Salmonella,9,0.020235391,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Salmonella,10.9,0.010805348,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Salmonella,10.9,0.015291262,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Salmonella,10.7,0.009174312,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Salmonella,9.3,0.016666667,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Salmonella,8.8,0.003154574,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Scandinavium,9,5.162089613875697e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Scandinavium,10.9,7.77363184079602e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Shigella,10.9,0.003731343,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Shigella,9,0.003613463,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Shigella,10.9,0.005825243,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Tatumella,10.9,7.77363184079602e-05,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
Xenorhabdus,9,0.000206484,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria
